Traffic_Level,Distance_km,Weather_Index,Rider_Age,Multiple_Deliveries,Hour_of_Day,Is_Festival,Actual_Time_mins,Estimated_mins,Delay_mins,Is_Delayed
1,8.94,1,31,1,20,0,31,27.9,3.1,1
1,5.09,4,33,0,2,1,26.3,24.2,2.1,1
2,4.45,1,18,1,2,0,20,19.3,0.7,1
2,5.26,1,35,1,3,1,31,32.2,-1.2,0
3,2.67,2,31,0,9,1,25.6,24.6,1,1
3,2.77,1,29,0,12,0,26,26.3,-0.3,0
2,3.18,1,27,1,14,0,19.2,19.5,-0.3,0
1,10.38,3,33,1,16,0,32.9,33.2,-0.3,0
1,8.97,1,31,0,17,0,26.5,30.2,-3.7,0
4,3.87,4,40,1,21,0,38.1,43.6,-5.5,0
1,8.36,1,23,1,23,0,29.7,33.5,-3.8,0
2,5.31,2,28,0,23,1,26.5,30.4,-3.9,0
2,7.42,4,23,0,23,1,34.3,31.4,2.9,1
3,11.06,2,29,1,3,1,51.9,55,-3.1,0
2,6.76,5,25,0,4,0,31,35.6,-4.6,0
3,9.01,1,25,0,5,1,36.9,34.8,2.1,1
1,8.94,1,36,1,11,0,27.7,32,-4.3,0
1,11.35,1,25,0,11,0,32.9,30.5,2.4,1
2,9.8,1,27,1,13,0,35,33.4,1.6,1
4,10.22,2,28,1,18,0,43.7,40,3.7,1
2,4.64,2,29,1,20,0,22.2,20,2.2,1
2,5.4,3,20,0,22,0,22.7,20.2,2.5,1
2,8.58,1,32,0,4,0,28.6,30.8,-2.2,0
2,5.6,2,27,1,14,1,34.7,40.7,-6,0
4,9.08,2,18,0,15,0,34.4,35.1,-0.7,0
3,5.38,2,28,0,17,0,26.6,30.8,-4.2,0
2,8.49,4,33,0,18,0,25.2,23.3,1.9,1
2,2.62,1,35,0,19,0,19.7,20.7,-1,0
2,4.92,4,34,0,23,0,19.5,19.1,0.4,1
3,6.87,1,28,0,1,1,28.8,31,-2.2,0
2,19.15,1,31,0,3,0,44.9,41.9,3,1
2,4.55,3,23,0,3,0,22.8,26.8,-4,0
2,8.03,2,24,0,7,0,29.5,33.7,-4.2,0
1,11.69,1,19,0,7,0,34.6,35,-0.4,0
3,4.13,3,29,0,8,0,22.6,23.4,-0.8,0
1,2.78,2,30,1,11,1,19.3,21.5,-2.2,0
2,4.76,4,30,0,13,1,34,29.7,4.3,1
2,7.94,1,24,1,14,0,33.1,32.7,0.4,1
2,3.8,4,21,0,15,1,32.6,36,-3.4,0
2,4.25,4,25,1,20,0,32.5,27.9,4.6,1
3,8.63,5,33,0,20,1,49,49.2,-0.2,0
3,6,1,28,1,21,0,35.1,33.1,2,1
1,11.21,1,26,1,7,0,35.4,34.1,1.3,1
4,2.41,1,23,1,11,0,27.9,30.2,-2.3,0
3,6.28,4,29,0,12,0,34.7,39.3,-4.6,0
2,6.09,5,28,1,15,0,33,31.3,1.7,1
3,8.7,1,28,0,17,0,28.3,28.6,-0.3,0
2,11.63,2,34,1,21,0,41.8,44.4,-2.6,0
2,9.04,2,28,0,4,0,28.9,27.9,1,1
2,4.53,4,29,0,4,0,26.5,28.8,-2.3,0
3,7.27,3,22,0,18,0,32.2,30.2,2,1
3,16.73,4,28,0,19,0,54.6,64.5,-9.9,0
3,4.79,1,29,0,20,0,19.5,19.7,-0.2,0
2,4.35,1,34,1,21,1,36,33.5,2.5,1
2,7.7,1,24,0,23,0,20.7,19.8,0.9,1
3,20.24,1,27,0,1,1,57.7,64.9,-7.2,0
2,2.37,1,41,0,5,1,18.4,18.7,-0.3,0
2,3.35,2,24,0,9,0,19.6,20.8,-1.2,0
3,5.03,1,26,0,11,0,20.2,23,-2.8,0
2,4.04,1,26,0,11,0,18,16.8,1.2,1
1,10.93,2,28,1,14,0,32.3,38.2,-5.9,0
1,4.95,2,26,0,15,1,24.8,23.1,1.7,1
3,14.4,2,30,1,17,0,50,49.4,0.6,1
2,3.14,1,25,0,18,0,14.9,15.3,-0.4,0
3,5.86,4,33,1,3,0,32.9,38,-5.1,0
2,5.72,3,29,1,8,0,27.2,28.1,-0.9,0
3,11.27,1,22,0,8,0,42.4,44.3,-1.9,0
3,3.8,2,24,0,13,0,27.1,32.1,-5,0
2,5.06,1,28,0,13,0,26.8,31.1,-4.3,0
2,7.88,1,22,0,14,0,21.4,20.7,0.7,1
3,4.72,1,29,0,18,0,23.2,22.5,0.7,1
3,9.92,4,27,0,19,0,36.6,41.6,-5,0
1,7.31,1,31,0,22,1,23.9,23.5,0.4,1
1,7.84,4,39,0,22,1,31.2,26.9,4.3,1
2,6.31,5,36,0,23,0,26.2,25.1,1.1,1
2,9.21,1,34,1,1,0,34.4,39.6,-5.2,0
3,15.94,1,25,0,3,0,46.4,41.1,5.3,1
2,6.56,1,30,1,6,0,32.2,37.6,-5.4,0
3,5.02,2,34,1,12,0,32.2,27.9,4.3,1
1,6.08,1,21,0,12,1,26.1,26.6,-0.5,0
3,6.84,1,33,0,14,0,23.1,23.3,-0.2,0
2,6.03,1,24,0,21,1,33.9,30.4,3.5,1
2,15.5,1,27,0,23,0,39.7,42.7,-3,0
2,6.62,4,34,0,5,0,27.3,23.8,3.5,1
4,6.54,1,24,1,5,0,36.6,31.9,4.7,1
2,16.22,1,27,1,6,0,41.7,49.6,-7.9,0
4,5.59,5,20,0,6,0,34.4,31.1,3.3,1
3,6.75,5,27,0,8,0,34.6,37.9,-3.3,0
2,9.96,3,35,1,13,1,48.9,45.6,3.3,1
2,6.36,1,24,0,15,0,24.4,25.1,-0.7,0
3,5.46,5,24,0,16,0,23.7,25.9,-2.2,0
2,4.84,1,25,1,18,0,26.9,31.9,-5,0
2,4.12,4,31,1,21,0,31.9,30.9,1,1
2,10.22,1,25,1,21,1,46.1,52.9,-6.8,0
3,3.41,1,21,0,0,0,20.1,18.4,1.7,1
3,6.47,4,27,1,0,0,35.9,40.9,-5,0
2,5.19,2,28,0,4,0,19.5,23.1,-3.6,0
3,2.96,1,29,0,4,1,30,27.4,2.6,1
1,5.62,2,32,0,6,0,21.1,18.6,2.5,1
3,10.08,1,32,0,13,0,39.3,34.5,4.8,1
4,7.39,2,26,0,21,1,43.6,51.1,-7.5,0
1,4.12,2,26,1,22,0,23.5,26.5,-3,0
2,8.25,3,25,0,23,0,25.1,30,-4.9,0
1,7.41,1,28,0,1,0,17.1,15.8,1.3,1
1,6.37,1,33,0,6,0,17.5,20.9,-3.4,0
2,7.03,1,29,1,16,0,24.9,28.2,-3.3,0
3,4.62,1,28,1,21,0,30.1,26,4.1,1
2,4.27,1,29,1,5,0,20,20.8,-0.8,0
2,2.39,1,34,0,5,0,12,12.5,-0.5,0
4,4.07,4,26,0,10,0,28.1,31,-2.9,0
3,6.54,2,34,0,10,0,24.9,29.1,-4.2,0
2,6.12,1,26,1,11,0,27,24.8,2.2,1
1,7.5,2,33,0,19,0,24.2,26.5,-2.3,0
1,3.08,4,29,0,19,0,22.9,25.3,-2.4,0
3,5.2,1,30,0,21,0,27.7,28.1,-0.4,0
3,6.12,2,29,0,21,0,32.9,29.4,3.5,1
4,4.07,4,20,1,0,0,35.6,38.1,-2.5,0
3,10.22,1,20,0,2,1,38.4,42.3,-3.9,0
3,3.22,1,20,0,3,0,17.2,18.7,-1.5,0
2,7.93,4,27,0,10,1,36.8,38.8,-2,0
2,4.43,2,29,0,12,1,31.3,36.8,-5.5,0
3,6.69,1,21,0,12,0,35.5,30.7,4.8,1
2,12.1,1,29,0,12,0,41.5,49.4,-7.9,0
2,6.83,4,25,1,13,1,43.8,38.8,5,1
2,6.14,1,30,0,13,0,27.7,26.7,1,1
3,14.82,4,28,0,17,0,47.6,51.1,-3.5,0
2,5.09,2,23,1,18,0,28.5,27.6,0.9,1
4,5.1,1,23,0,22,0,23.6,20.5,3.1,1
2,5.51,2,23,0,23,0,25.2,27.6,-2.4,0
4,5.96,4,28,1,4,0,36.6,40.3,-3.7,0
3,8.34,2,24,0,6,0,32.1,33.4,-1.3,0
3,4.2,1,30,0,8,0,15,16,-1,0
1,8.68,1,30,0,9,0,20.5,18.2,2.3,1
3,4.59,4,25,0,9,1,29.9,33.3,-3.4,0
2,2.19,1,29,0,10,0,14.3,13.8,0.5,1
1,6.14,2,28,0,10,1,27.2,25.4,1.8,1
1,4.72,1,18,0,12,0,17.4,20.6,-3.2,0
2,7.27,3,32,0,12,0,29.1,33,-3.9,0
1,12.46,1,40,0,12,0,31.5,37.5,-6,0
2,3.73,1,27,0,13,0,21,22,-1,0
1,2.45,1,28,0,16,0,11,13,-2,0
2,2.81,2,35,1,19,0,18.2,21.3,-3.1,0
2,1.55,1,29,1,19,0,14.4,15.8,-1.4,0
2,2.27,2,24,0,0,1,23.2,21.6,1.6,1
2,8.8,4,36,0,0,0,29.8,33.5,-3.7,0
2,8.76,2,33,1,1,0,33.8,38.4,-4.6,0
4,4.58,1,36,0,9,0,28.7,33.7,-5,0
3,4.52,1,38,0,11,0,23.6,27.9,-4.3,0
1,5.13,1,32,0,12,0,19.5,19.2,0.3,1
1,9.76,4,34,0,14,0,30.6,31.6,-1,0
2,7.87,1,33,0,16,1,31.4,29,2.4,1
2,7.08,1,37,0,17,0,23.3,25.9,-2.6,0
2,4.85,1,30,1,20,0,28.9,33.2,-4.3,0
1,4.8,1,32,0,21,0,21.5,19.1,2.4,1
2,2.96,1,21,0,4,0,13.7,12.5,1.2,1
3,1.27,2,32,0,7,0,11.9,10.2,1.7,1
2,6.39,1,34,0,9,0,26.8,26.8,0,0
2,2.6,1,18,0,9,0,13.8,13.6,0.2,1
4,4.33,2,27,1,10,1,43.9,46.9,-3,0
3,5.78,3,36,1,12,0,37.9,44.7,-6.8,0
4,7.47,5,26,1,16,1,47.7,43.8,3.9,1
2,7.11,5,19,0,20,0,33.2,34.5,-1.3,0
3,4.71,1,31,1,2,0,27.7,28,-0.3,0
1,4.41,2,33,1,7,0,26.8,27.5,-0.7,0
3,9.04,2,27,1,7,0,39.3,35.5,3.8,1
2,9.18,2,22,1,9,0,34.5,31.4,3.1,1
3,3.77,2,26,0,12,0,28.8,28.6,0.2,1
3,3.78,2,25,1,13,0,30.7,30.7,0,0
2,5.78,1,27,1,15,1,32.5,36.3,-3.8,0
1,13.14,2,26,1,17,0,36.9,36.4,0.5,1
3,6.38,2,33,0,18,0,26.3,30.1,-3.8,0
4,4.34,2,28,0,20,0,33.9,38.7,-4.8,0
4,3.45,1,30,1,20,0,34.1,32.6,1.5,1
2,6.68,1,24,0,23,0,21.6,19.3,2.3,1
2,6.86,1,37,1,1,0,30.2,27.5,2.7,1
3,2.18,3,30,1,4,0,22.7,21.7,1,1
1,8.65,1,29,0,7,0,22.4,21.7,0.7,1
1,6.9,3,27,1,14,1,32.9,32.8,0.1,1
1,9.58,4,35,1,16,0,39.6,38.1,1.5,1
3,5.72,2,34,1,18,0,33.7,32.6,1.1,1
3,4.5,1,30,0,18,1,25.1,24,1.1,1
3,6.43,1,26,0,19,0,33.5,37.1,-3.6,0
3,3.67,1,29,0,0,0,22.7,19.3,3.4,1
3,10.91,4,25,1,2,0,44.7,45.7,-1,0
2,3.12,4,21,0,3,1,29.7,25.9,3.8,1
1,6.84,3,24,0,6,0,25.4,26.7,-1.3,0
2,7.36,4,39,0,9,1,36.8,41.2,-4.4,0
4,5.05,4,30,0,14,0,31.2,27.7,3.5,1
1,7.03,1,33,1,14,0,22.6,23.1,-0.5,0
3,4.1,1,26,1,15,0,34,38.9,-4.9,0
3,13.78,2,30,0,16,0,43.7,38.7,5,1
3,11.14,2,35,0,16,0,34,36.6,-2.6,0
1,4.63,2,22,0,17,0,14.9,13.9,1,1
2,11.38,1,28,1,18,0,37.2,38.8,-1.6,0
4,6.61,2,32,1,20,0,40,41.4,-1.4,0
2,1.73,1,24,1,20,0,22.4,25.9,-3.5,0
3,8.7,4,35,0,6,0,32.7,32.3,0.4,1
3,7.28,1,29,0,6,0,27.2,26.4,0.8,1
3,3.42,2,29,1,7,0,25.7,25.3,0.4,1
3,5.39,1,20,0,7,0,22,23.1,-1.1,0
3,11.64,5,25,1,11,0,48.5,52.3,-3.8,0
3,5.83,5,29,0,11,0,27.6,25.9,1.7,1
1,8.75,5,23,0,14,0,29.9,33.7,-3.8,0
2,8.45,2,31,1,14,0,26.9,24.6,2.3,1
3,3.61,4,33,1,15,0,27.5,31.3,-3.8,0
3,7.23,2,20,1,2,0,33.1,33.5,-0.4,0
3,7.74,1,26,0,5,0,27.6,28.6,-1,0
4,7.56,2,27,0,13,0,33.5,28.7,4.8,1
2,2.98,1,31,0,17,0,17.9,19.8,-1.9,0
4,5.09,3,27,0,18,1,38,34.1,3.9,1
2,1.91,1,29,1,19,0,19.5,23,-3.5,0
2,8.14,5,22,0,21,0,37.6,33.2,4.4,1
1,7.32,1,34,1,22,1,30.9,30.6,0.3,1
3,10.28,3,23,0,22,0,35.5,35.3,0.2,1
2,6.11,1,28,0,6,0,24.3,23,1.3,1
2,5.76,3,25,1,7,0,25.9,29.2,-3.3,0
3,5.38,2,26,0,8,0,24.3,28.1,-3.8,0
3,3.62,1,26,1,9,0,28.8,25.6,3.2,1
2,5.18,1,29,1,11,0,23,24.2,-1.2,0
3,3.5,1,28,0,12,0,25.6,28.2,-2.6,0
3,21.71,5,28,0,14,0,60.5,64.2,-3.7,0
4,5.86,4,24,0,20,0,41,35.2,5.8,1
4,4.42,1,27,1,23,0,26,23.6,2.4,1
2,6.17,3,21,1,0,0,32.5,36.2,-3.7,0
2,16.18,1,37,0,1,0,46.7,49.1,-2.4,0
1,9.29,3,25,0,1,1,37.8,41.3,-3.5,0
1,25,3,27,1,2,0,60.7,57,3.7,1
4,3.41,1,28,1,6,0,28.6,30.7,-2.1,0
2,7.2,1,26,1,6,0,27.4,29.1,-1.7,0
1,5.13,1,36,0,7,0,16.3,15.6,0.7,1
4,6.79,4,34,1,13,0,44.7,41.4,3.3,1
2,7.87,1,21,1,13,0,36.7,41,-4.3,0
3,8.47,2,26,0,16,1,34.7,41.2,-6.5,0
2,4.62,2,29,0,17,1,28,24.7,3.3,1
2,4.39,4,31,1,21,0,28.1,30.8,-2.7,0
2,5.15,1,29,0,23,0,22.3,20.8,1.5,1
2,6.54,3,34,0,23,1,33.3,32.3,1,1
3,5.43,1,31,0,2,1,30.1,30.4,-0.3,0
3,25,1,33,1,8,1,72.3,65,7.3,1
2,9.35,4,29,1,10,0,33.3,39.8,-6.5,0
3,3.56,3,35,1,11,0,27,31.2,-4.2,0
1,2.19,4,28,0,12,0,17.5,20.8,-3.3,0
3,14.09,4,28,0,12,0,52.3,50.5,1.8,1
2,4.7,1,26,1,18,0,19.4,16.7,2.7,1
2,13.69,1,25,0,20,1,51.9,56.6,-4.7,0
1,4.71,1,34,1,23,0,19.1,21.3,-2.2,0
2,4.49,5,24,0,1,0,29.2,29.8,-0.6,0
3,6.28,2,27,0,4,0,28.4,24.4,4,1
2,6.18,3,28,1,6,0,33.1,35.4,-2.3,0
2,2.9,2,30,1,6,0,16.9,18.1,-1.2,0
1,6.66,1,24,1,11,1,34.2,36.4,-2.2,0
1,7.63,1,34,0,20,0,24.7,24.6,0.1,1
2,7.89,1,28,1,1,0,34.5,31.4,3.1,1
2,6.44,1,32,0,4,0,19.7,17.8,1.9,1
2,3.53,2,22,0,6,0,18,19.6,-1.6,0
1,9.82,1,26,0,7,0,21.6,25.7,-4.1,0
2,4.66,2,31,1,7,1,29.2,29.5,-0.3,0
3,3.19,1,33,1,14,0,24.1,24.5,-0.4,0
4,3.96,4,27,0,16,0,25.6,24.9,0.7,1
4,3.98,2,28,0,16,0,27.5,28.6,-1.1,0
2,8.74,1,33,0,17,0,30.8,33.6,-2.8,0
3,19.07,1,30,0,22,0,48.4,57.1,-8.7,0
4,7.73,5,27,0,23,1,40,44.7,-4.7,0
2,6,2,37,0,5,0,26.7,31.5,-4.8,0
1,7.52,4,31,1,7,0,36.6,38.1,-1.5,0
2,3.97,1,31,0,11,0,19.1,20.8,-1.7,0
4,4.71,3,26,1,11,0,28.7,30.3,-1.6,0
1,7.21,1,28,0,12,0,22.3,19.3,3,1
2,4.44,2,23,1,13,0,30.2,26.8,3.4,1
3,4.69,1,33,1,14,0,27.3,24.9,2.4,1
3,3.63,1,24,0,19,0,27,29,-2,0
4,8.83,2,25,0,0,0,32.1,33.3,-1.2,0
4,9.49,2,37,1,3,0,42.1,47.7,-5.6,0
2,10.12,1,22,1,4,1,46.9,55.5,-8.6,0
1,8.41,4,31,0,5,0,26.7,28.6,-1.9,0
1,10.63,4,29,1,7,0,37.6,34.4,3.2,1
2,18.84,4,18,0,15,0,53.2,50.4,2.8,1
3,5.64,1,29,1,18,0,26.5,23.6,2.9,1
2,5.29,1,27,0,15,0,16.3,18.8,-2.5,0
1,4.41,4,27,1,16,0,26.9,30.3,-3.4,0
1,17.49,3,28,1,17,0,46.9,50.4,-3.5,0
1,7.21,2,25,0,6,0,22.7,19.6,3.1,1
2,3.24,1,30,0,9,0,12.3,12.8,-0.5,0
1,6.81,3,25,0,10,0,18,19.9,-1.9,0
1,5.16,4,28,1,10,0,29.1,31.9,-2.8,0
4,6.64,1,29,1,12,0,42.8,37.8,5,1
2,4.36,1,31,0,13,0,22.7,23.9,-1.2,0
2,5.68,1,24,0,13,0,26.6,31.5,-4.9,0
2,9.93,2,19,0,17,0,31.8,29.1,2.7,1
2,3,1,18,0,17,0,8.7,9.8,-1.1,0
2,3.06,1,25,1,21,0,23.6,24.6,-1,0
2,5.54,1,29,1,21,0,29.6,34.2,-4.6,0
3,3.32,2,26,0,4,0,21.7,21.7,0,0
3,5.96,2,25,1,9,0,28.1,29.5,-1.4,0
1,18.64,2,18,0,14,0,43.2,38,5.2,1
1,4.91,5,20,0,18,0,26.8,23,3.8,1
1,4.7,1,24,0,18,0,18.2,18.6,-0.4,0
3,1.63,2,22,1,23,0,25.3,23.3,2,1
2,7.4,4,20,0,2,0,31.7,30.4,1.3,1
2,2.73,4,24,1,3,0,24.9,28.2,-3.3,0
2,5.86,3,35,0,4,1,25.1,30,-4.9,0
1,7,2,29,0,6,0,19.5,19.2,0.3,1
4,2.3,2,26,0,8,0,20,20.2,-0.2,0
2,15.09,3,21,1,9,0,49.3,49,0.3,1
2,3.59,1,27,0,12,0,18.6,19.1,-0.5,0
1,9.36,4,29,0,13,0,34.4,37.8,-3.4,0
1,4.15,2,20,1,14,0,17.7,16.8,0.9,1
2,2.97,2,30,1,20,0,23.6,23.8,-0.2,0
2,3.8,1,22,1,21,1,37.2,31.6,5.6,1
2,6.01,1,33,0,23,1,31,32.7,-1.7,0
3,5.35,1,36,0,3,0,23.3,22.4,0.9,1
2,6.62,3,34,0,5,0,24.2,27.8,-3.6,0
4,9.67,4,22,1,7,0,47.7,45.3,2.4,1
3,3.4,4,29,0,17,0,21.7,22.4,-0.7,0
3,2.7,3,34,0,23,1,21.5,20.7,0.8,1
3,4.75,4,32,0,2,0,25.3,27.3,-2,0
3,2.73,1,22,1,6,0,25,26.3,-1.3,0
2,5.25,1,20,0,10,0,19.6,18.2,1.4,1
4,7.22,2,21,0,15,0,31.2,29.7,1.5,1
2,4.14,2,27,0,0,0,22.7,22.1,0.6,1
2,4.21,4,22,1,2,0,26,24.4,1.6,1
3,2.05,2,28,0,11,1,30.8,35.8,-5,0
3,6.03,1,34,0,14,0,22.5,21.7,0.8,1
3,4.76,1,23,0,16,0,19.2,20.4,-1.2,0
1,8.39,4,20,1,0,0,37.5,44.3,-6.8,0
2,6.59,1,36,0,6,1,28.3,33.3,-5,0
3,12.92,4,21,0,6,1,54.5,47.3,7.2,1
2,2.08,3,24,0,7,0,20.2,22.3,-2.1,0
2,9.2,5,31,1,7,0,37,34.2,2.8,1
2,4.83,1,26,0,8,0,18,20.8,-2.8,0
2,3.4,2,21,1,13,0,22.5,21.1,1.4,1
3,4.5,2,31,0,14,0,24.5,26.9,-2.4,0
2,5.46,1,29,0,16,1,24.8,22.8,2,1
3,4.13,1,29,0,17,0,24.4,23.8,0.6,1
1,7.36,4,27,0,23,0,23,24.2,-1.2,0
4,2.44,2,22,0,2,0,20.2,21.5,-1.3,0
2,6.11,1,27,0,6,0,16.1,15.9,0.2,1
2,7.06,1,22,0,9,1,32.8,30,2.8,1
1,17.63,1,33,0,17,0,39.8,45.7,-5.9,0
2,9.32,4,18,1,17,0,37.6,40.3,-2.7,0
1,2.73,1,37,1,20,0,18.6,17.5,1.1,1
1,3.15,4,28,0,22,0,19.6,16.7,2.9,1
2,5.39,1,35,0,3,0,23.9,23.5,0.4,1
4,7.29,5,26,0,4,1,38.4,37.7,0.7,1
3,9.31,1,26,0,7,0,30.9,34.1,-3.2,0
2,9.21,4,28,1,9,0,34,36.6,-2.6,0
3,5.45,1,32,0,10,0,19.6,19.7,-0.1,0
2,15.39,4,32,0,17,0,45.6,46.6,-1,0
3,3.89,1,23,0,18,1,27.4,25.8,1.6,1
2,6.16,4,28,1,20,0,29.3,30,-0.7,0
3,5.63,2,34,1,20,1,38,41.5,-3.5,0
2,3.66,3,27,1,0,0,18.7,19.7,-1,0
1,5.3,2,35,1,1,0,27.6,31.5,-3.9,0
2,10.19,1,26,0,14,0,26.9,32,-5.1,0
3,9.5,3,28,0,18,0,37.1,38.5,-1.4,0
2,3.17,4,30,0,20,0,25.9,24.8,1.1,1
2,6.87,5,23,1,23,1,37.8,32.7,5.1,1
4,7.57,1,33,0,6,1,37.5,38.8,-1.3,0
3,11.44,4,28,0,9,0,44.3,38.6,5.7,1
2,4.2,2,32,1,9,0,21.7,23.8,-2.1,0
2,7.3,2,28,1,10,0,36.3,30.9,5.4,1
1,6.12,1,34,1,11,1,31.2,31.5,-0.3,0
2,2.93,2,30,0,12,0,22.8,20.7,2.1,1
2,5.3,2,25,0,13,1,28.3,30.5,-2.2,0
3,5.88,1,27,1,13,1,42.8,49.6,-6.8,0
4,7.13,1,30,1,14,0,31.9,36.3,-4.4,0
2,17.49,2,18,0,14,0,51.5,51.1,0.4,1
3,11.72,1,33,1,16,0,35.3,37.5,-2.2,0
2,9.35,1,35,0,16,0,25.6,27.4,-1.8,0
2,4.74,4,30,1,19,0,35.8,35,0.8,1
4,5.51,2,39,0,0,0,30.9,35.7,-4.8,0
2,5.87,2,30,0,4,0,22.5,26.6,-4.1,0
1,7.39,1,40,0,4,0,15.4,18.3,-2.9,0
3,3.52,1,28,0,6,0,15.9,17,-1.1,0
2,7.62,1,23,1,6,0,27.6,29.9,-2.3,0
2,3.6,1,30,0,9,1,21.3,23.9,-2.6,0
2,19.02,4,28,0,10,0,47.8,52,-4.2,0
2,5.45,1,24,0,11,0,19.4,20.6,-1.2,0
2,4.84,2,33,0,13,1,31.6,31.7,-0.1,0
4,6.22,1,25,1,17,0,33.9,33.9,0,0
4,3.56,1,20,1,22,0,31.3,32.5,-1.2,0
2,5.99,4,21,1,23,0,39.9,43.9,-4,0
1,3.94,4,31,0,1,0,17.7,19.4,-1.7,0
2,3.84,2,31,0,5,0,11.3,10.3,1,1
3,5.76,1,43,0,5,1,34.5,30,4.5,1
2,6.92,3,36,0,6,0,30.4,30,0.4,1
1,5.86,1,27,0,7,0,15.2,14,1.2,1
1,3.29,1,33,1,19,0,19.5,17.9,1.6,1
2,4.12,2,29,1,21,0,27.6,25.4,2.2,1
2,4.55,2,28,0,22,0,16,16,0,0
3,9.28,5,21,1,3,0,44.2,51.2,-7,0
4,5.17,1,29,0,4,0,28.3,30.2,-1.9,0
3,6.81,1,31,0,5,0,24.7,22.4,2.3,1
3,4.63,3,28,1,8,0,30.2,34.9,-4.7,0
2,10.43,4,36,0,10,0,32.8,29.2,3.6,1
3,3.56,2,33,0,11,0,21.8,22.9,-1.1,0
1,9.97,4,34,0,12,0,36.4,36.6,-0.2,0
3,7.04,2,29,1,18,0,29.5,32.3,-2.8,0
2,5.18,5,29,0,1,0,24.4,24.2,0.2,1
3,6.79,2,18,0,5,0,32.7,38.8,-6.1,0
3,7.65,4,31,0,6,0,31.8,35.2,-3.4,0
4,6.14,1,27,0,18,1,38.4,38.6,-0.2,0
2,3.5,1,29,0,19,0,20.2,20,0.2,1
3,3.81,1,28,0,20,0,23.6,23.2,0.4,1
2,4.51,4,30,1,21,0,33.1,33.9,-0.8,0
4,3.28,4,25,1,22,0,34.4,31.4,3,1
3,6.2,1,31,0,22,0,30.6,36,-5.4,0
4,3.33,3,29,1,2,0,28.3,28.4,-0.1,0
4,3.87,1,23,0,4,0,25.4,27.7,-2.3,0
2,3.26,3,30,0,9,0,15,17.5,-2.5,0
1,7.35,2,33,0,10,0,21.4,21,0.4,1
3,4.56,2,24,1,10,0,29.6,27.9,1.7,1
1,5.95,3,38,0,12,0,20,19.5,0.5,1
2,5.95,1,29,1,12,0,29.1,25.4,3.7,1
2,5.87,1,26,0,0,1,27.2,32.6,-5.4,0
2,4,2,28,1,0,1,28.2,33.6,-5.4,0
3,11.03,1,22,0,5,0,32.1,35.9,-3.8,0
2,3.74,2,31,0,5,0,17.2,15.1,2.1,1
1,4.88,1,19,1,8,0,21.7,19.3,2.4,1
3,3.79,3,22,0,15,1,35.7,42.3,-6.6,0
2,3.35,1,25,1,17,0,20.9,21.5,-0.6,0
3,4.77,2,26,0,20,0,26.7,29,-2.3,0
3,6.17,2,28,1,22,0,35.2,35.3,-0.1,0
4,1.9,2,24,0,23,0,24.3,23.2,1.1,1
2,4.97,3,24,0,12,0,28,31.1,-3.1,0
2,12.51,3,28,1,14,0,44.6,50.5,-5.9,0
2,5.44,1,37,1,18,0,20.8,21.8,-1,0
2,3.16,1,31,0,3,1,24.1,22.2,1.9,1
3,6.9,3,21,1,3,0,31.3,29.5,1.8,1
3,2.3,1,36,1,7,1,32.4,29.9,2.5,1
4,4.59,1,21,0,9,0,24.5,28.1,-3.6,0
4,4.38,4,21,1,10,0,43.9,37.8,6.1,1
2,2.4,1,28,0,13,1,23,21.6,1.4,1
2,6.56,3,36,1,13,0,36.1,30.9,5.2,1
3,7.58,4,30,0,14,1,36.5,41.2,-4.7,0
2,10.06,1,32,0,22,0,29.1,33.2,-4.1,0
1,13.2,3,29,1,0,1,43.4,48.1,-4.7,0
2,4.65,1,28,0,4,0,16.7,17.2,-0.5,0
2,8.94,1,28,0,4,0,31,35.7,-4.7,0
2,4.58,1,18,0,17,1,30.7,31.3,-0.6,0
2,7.06,1,29,1,21,0,28.7,28,0.7,1
3,3.97,1,37,1,22,0,26.4,28,-1.6,0
4,5.82,3,22,0,2,0,30.1,30.2,-0.1,0
4,11.24,2,39,0,3,0,41.5,49.1,-7.6,0
2,7.01,1,36,1,3,0,30.3,34.8,-4.5,0
4,4.94,2,34,0,4,1,34.3,31.5,2.8,1
3,2.03,2,29,1,5,0,23.5,20.9,2.6,1
3,6.68,2,28,0,7,0,25.5,26.7,-1.2,0
3,15.82,1,21,1,13,0,54.2,60.2,-6,0
2,3.8,2,28,0,16,0,21.7,22.9,-1.2,0
2,5.13,1,27,1,19,1,36.3,33.1,3.2,1
3,9.74,1,24,0,22,1,33.5,36.5,-3,0
4,13.76,2,26,0,3,0,43.1,47.3,-4.2,0
1,4.13,3,27,0,4,0,17.4,17.5,-0.1,0
3,4.64,1,33,1,8,0,29.6,33,-3.4,0
3,2.5,1,22,1,11,0,23.5,22,1.5,1
2,6.74,2,28,0,14,0,27.4,29.7,-2.3,0
2,11.77,1,29,0,14,0,25.3,23.7,1.6,1
2,6,2,24,0,16,0,22.7,20.5,2.2,1
1,9.55,1,31,0,19,0,29,27.1,1.9,1
4,6.43,1,37,1,1,0,33.9,38,-4.1,0
3,7.15,4,29,0,3,0,34.5,32.1,2.4,1
1,10.15,3,25,0,12,0,31.4,30.5,0.9,1
3,8.28,2,29,1,12,0,41.7,43,-1.3,0
1,2.4,1,29,0,13,0,8.8,8.2,0.6,1
